,strain(%),stress(MPa),stress_alpha,stress_beta,strain_t,stress_t,strain
57,0.181246,194.005,186.50733841089226,223.01565418488175,0.0018108194763307,194.3566263023,0.00181246
58,0.182163,194.266,186.75996108549475,223.31772707658905,0.0018199728442494,194.61988077358,0.0018216299999999
59,0.183285,194.516,187.0023959276775,223.60761789475885,0.0018311723800098,194.8725186506,0.00183285
60,0.184236,194.757,187.23586411645326,223.8867868609497,0.0018406649364406,195.11581250652,0.00184236
61,0.18526,194.994,187.4656277364786,224.16152609890372,0.0018508860531322,195.3552458844,0.0018526
62,0.186351,195.214,187.6791776981764,224.41687789800704,0.0018617758193476,195.57778324114,0.0018635099999999
63,0.187367,195.435,187.8935530224981,224.67321662227417,0.0018719168698821,195.80118069645,0.00187367
64,0.18854,195.654,188.10630458382724,224.9276137362587,0.0018836248642969,196.0228860516,0.0018854
65,0.189606,195.87,188.3159756551198,225.17832736246964,0.0018942647471513,196.2413812722,0.00189606
66,0.190827,196.075,188.5153669070361,225.41674892198438,0.0019064515658115,196.44916404025,0.0019082699999999
67,0.191493,196.179,188.61661099319122,225.53781126890652,0.0019130988588464,196.55466905247,0.00191493
68,0.192547,196.379,188.81088755300524,225.77011694893432,0.0019236186587266,196.75712187313,0.0019254699999999
69,0.193829,196.573,188.99982941363436,225.9960436765909,0.0019364139397793,196.95401548017,0.00193829
70,0.195003,196.767,189.1885721215409,226.2217322679088,0.0019481311596292,197.15070155301,0.00195003
71,0.195695,196.866,189.28506645762084,226.337115113803,0.0019550376678346,197.2512569187,0.00195695
72,0.196349,196.966,189.38245178277114,226.45356335750995,0.0019615648730764,197.35274077134,0.00196349
73,0.197607,197.154,189.56559347387062,226.67255454786778,0.0019741201419589,197.54359010478,0.00197607
74,0.198268,197.25,189.6591496249884,226.78442406690291,0.0019807170841366,197.64108363,0.00198268
75,0.198947,197.343,189.74985651229693,226.89288658631125,0.0019874936254174,197.73560797821,0.00198947
76,0.199633,197.435,189.83961634420464,227.00021666674124,0.0019943399813148,197.82914541355,0.00199633
77,0.200315,197.524,189.9264851966545,227.10408986616847,0.0020011463703064,197.9196702006,0.00200315
78,0.201059,197.611,190.01154969923303,227.20580551903285,0.0020085714690985,198.00831470049,0.00201059
79,0.201744,197.693,190.09169576317885,227.30163996197493,0.0020154077008251,198.09183376592,0.00201744
80,0.202495,197.773,190.1700450506805,227.3953259142596,0.002022902552269,198.17348043635,0.00202495
81,0.203233,197.851,190.2464476806359,227.48668415595733,0.0020302676112159,198.25309852283,0.00203233
82,0.203955,197.928,190.32185945453094,227.57685758415454,0.0020374729415954,198.3316840524,0.00203955
83,0.20472,198.005,190.3973539990002,227.66712998504585,0.0020451073416534,198.410355836,0.0020472
84,0.205444,198.074,190.46507905655807,227.7481120426135,0.0020523325241047,198.48093114856,0.00205444
85,0.206163,198.148,190.5376035276603,227.83483298617043,0.0020595077572239,198.55650786124,0.00206163
86,0.206928,198.219,190.60733172043348,227.91821028734756,0.0020671419890615,198.62917061232,0.00206928
87,0.20772,198.287,190.67422750982485,227.99820074970924,0.0020750456029731,198.6988817564,0.0020772
88,0.208402,198.352,190.73803011263254,228.07449254243485,0.0020818514426751,198.76536953504,0.00208402
89,0.209132,198.416,190.80096333917035,228.14974478079657,0.0020891362344337,198.83095134912,0.00209132
90,0.210022,198.479,190.86324057567396,228.22421262081835,0.0020980176210901,198.89584956538,0.00210022
91,0.210802,198.542,190.92530931223897,228.2984311475928,0.0021058012434149,198.96053050684003,0.00210802
92,0.211679,198.602,190.9846789226401,228.36942220143075,0.0021145527566746,199.02239872758005,0.00211679
93,0.212396,198.665,191.0466294773294,228.44349941254146,0.0021217075857538,199.0869565134,0.00212396
94,0.213227,198.726,191.10687497912676,228.51553781118844,0.0021299999386731,199.14973748802,0.00213227
95,0.214104,198.783,191.1633625285785,228.58308264830646,0.0021387512401611,199.20860235432,0.00214104
96,0.214932,198.841,191.22071921721778,228.65166675629789,0.0021470135160922,199.26837293812,0.00214932
97,0.21588,198.896,191.27542081023785,228.71707604075965,0.0021564731394957,199.3253766848,0.0021587999999999
98,0.216671,198.955,191.33367043836293,228.7867278787679,0.0021643660690231,199.38607778805,0.00216671
99,0.217548,199.01,191.38823839560536,228.85197736860374,0.0021731170697692,199.4429422748,0.00217548
100,0.218357,199.065,191.44267738120678,228.91707264094268,0.0021811894757585,199.49967236205,0.00218357
101,0.219277,199.117,191.49444416310433,228.97897263280515,0.0021903693885488,199.55361778409,0.00219277
102,0.220218,199.169,191.5462519994861,229.04092171545798,0.0021997587556495,199.60760598842003,0.0022021799999999
103,0.221109,199.219,191.59604171578098,229.100457636381,0.0022086491378211,199.65949113871,0.00221109
104,0.221905,199.27,191.6466123702625,229.16092736206494,0.0022165915448335,199.7121900935,0.0022190499999999
105,0.222943,199.317,191.6937996666837,229.21735144634098,0.002226948508461,199.76136329931003,0.00222943
106,0.223901,199.365,191.74179661201129,229.27474366614481,0.0022365071523477,199.81138022865,0.00223901
107,0.224827,199.413,191.78973320483496,229.33206371960253,0.002245746422751,199.86133426551,0.00224827
108,0.225713,199.458,191.834708748588,229.3858431065042,0.0022545865086895,199.90820263554,0.00225713
109,0.226711,199.503,191.87989947691236,229.4398797997851,0.0022645439836863,199.95529524633,0.00226711
110,0.227661,199.547,191.9240373537557,229.49265754870598,0.002274022449938,200.00129069567,0.00227661
111,0.228551,199.59,191.96709930744507,229.54414876537516,0.0022829021947075,200.0461649409,0.00228551
112,0.229597,199.633,192.01046084579085,229.59599820960102,0.0022933382883305,200.09135137901,0.00229597
113,0.230582,199.674,192.0517827107357,229.645408719779,0.002303165676542,200.13441230268,0.00230582
114,0.231515,199.713,192.09108202183168,229.69240076656797,0.0023124741694091,200.17536555195,0.00231515
115,0.232523,199.755,192.1334113308396,229.74301592530662,0.0023225308360318,200.21947631865,0.00232523
116,0.233546,199.797,192.1757702115714,229.79366644435552,0.0023327370520275,200.26361790162,0.00233546
117,0.23468,199.837,192.21641904770067,229.8422721821161,0.0023440505656215,200.3059774716,0.0023468
118,0.235592,199.88,192.2595285721138,229.89382028135182,0.0023531491715236,200.3509012896,0.00235592
119,0.236559,199.92,192.29985871392955,229.94204494123406,0.0023627963967883,200.3929287528,0.00236559
120,0.237671,199.96,192.3404678305033,229.99060318444168,0.0023738900919732,200.43524693160003,0.0023767099999999
121,0.238767,200.0,192.38104709310176,230.03912572983774,0.0023848240452192,200.477534,0.00238767
122,0.239905,200.04,192.42170782078682,230.08774568689455,0.0023961768738134,200.519905962,0.00239905
123,0.241004,200.075,192.45748490876286,230.13052604474956,0.002407140511254,200.557188753,0.00241004
124,0.242057,200.112,192.49509827553953,230.1755021280998,0.0024176451393732,200.59638510384,0.00242057
125,0.243307,200.143,192.5273190668441,230.2140300536622,0.0024301148775633,200.62996192901,0.00243307
126,0.244507,200.172,192.5575206363291,230.2501435001008,0.0024420856799386,200.66143455204,0.00244507
127,0.245673,200.2,192.58669558286738,230.28502936487956,0.0024537171723141,200.691837346,0.00245673
128,0.24671,200.224,192.61177536751273,230.31501845070937,0.0024640617049541,200.7179726304,0.0024671
129,0.248011,200.247,192.6364009403406,230.3444644139657,0.0024770396027614,200.74363458717,0.00248011
130,0.249266,200.268,192.65901467181686,230.3715047232732,0.0024895584760227,200.76720003288,0.00249266
131,0.25048,200.287,192.67962607178347,230.39615075,0.0025016682170498,200.78867887760003,0.0025047999999999
132,0.251745,200.301,192.69552579595302,230.41516280291566,0.0025142865308866,200.80524775245,0.00251745
133,0.252968,200.317,192.71326920850595,230.4363794413154,0.0025264857453761,200.82373790856,0.00252968
134,0.254331,200.328,192.72647186295487,230.45216648028125,0.0025400812604204,200.83749620568005,0.0025433099999999
135,0.255529,200.34,192.74031966186146,230.46872494901757,0.0025520307974658,200.85192679860003,0.00255529
136,0.256801,200.352,192.75431000950766,230.48545387003037,0.0025647182965339,200.86650593952,0.00256801
137,0.258149,200.36,192.7645984119881,230.49775619995071,0.0025781636780381,200.87722733640004,0.00258149
138,0.259462,200.365,192.77193341337744,230.50652700836622,0.0025912597845941,200.8848710363,0.00259462
139,0.260758,200.371,192.78019796979277,230.5164093297334,0.0026041861617947,200.89348341218,0.00260758
140,0.262086,200.378,192.78948633551857,230.5275158683624,0.002617431535474,200.90316268508,0.00262086
141,0.26345,200.382,192.79595767857498,230.53525395962183,0.0026310357878524,200.90990637900003,0.0026345
142,0.264892,200.384,192.80065480317873,230.54087053388224,0.0026454177947611,200.91480118528,0.00264892
143,0.266284,200.39,192.809104513698,230.55097425277708,0.0026593009228391,200.9236065076,0.00266284
144,0.267606,200.394,192.81549540858992,230.5586161483577,0.0026724857266647,200.93026636764,0.00267606
145,0.268986,200.398,192.82199794171123,230.56639153505432,0.0026862488008874,200.93704256428,0.00268986
146,0.270451,200.397,192.82385299665515,230.56860971207294,0.0027008593934167,200.93897569047,0.00270451
147,0.272009,200.398,192.82781131355264,230.57334285898224,0.0027163972500882,200.94310059582,0.00272009
148,0.273406,200.401,192.83338452347155,230.5800070099297,0.0027303292564623,200.94890835806004,0.00273406
149,0.274889,200.396,192.8314251859026,230.57766413723934,0.002745118711541,200.94686656044,0.00274889
150,0.276457,200.392,192.8305914262436,230.57666717134316,0.0027607556048486,200.94599771144,0.00276457
151,0.277937,200.39,192.83151288872958,230.57776900766163,0.002775514693099,200.9469579543,0.0027793699999999
152,0.279624,200.386,192.83090775071364,230.57704541548745,0.0027923377935756,200.94632734864,0.0027962399999999
153,0.281047,200.379,192.82690790636704,230.57226261224125,0.0028065280133524,200.94215916813,0.00281047
154,0.282745,200.376,192.82728594924598,230.5727146560089,0.002823460281965,200.9425531212,0.00282745
155,0.28426,200.369,192.8234626534441,230.5681429602158,0.0028385674527582,200.9385689194,0.0028426
156,0.285855,200.363,192.82075532734981,230.5649056822344,0.0028544721153252,200.93574765365,0.00285855
157,0.287564,200.358,192.81922937361804,230.5630810271155,0.0028715132567542,200.93415747912,0.00287564
158,0.289145,200.352,192.81649477244406,230.55981113503,0.0028872777989875,200.9313077904,0.00289145
159,0.290776,200.358,192.82540496847795,230.57046547825502,0.0029035406431637,200.94059297808,0.0029077599999999
160,0.292218,200.361,192.83106470358553,230.57723309146684,0.0029179187314679,200.94649090698,0.00292218
161,0.293936,200.358,192.83148058484068,230.57773038037234,0.0029350485279746,200.94692429088,0.00293936
162,0.295561,200.361,192.83749226359132,230.5849188292599,0.0029512507721035,200.95318897521005,0.00295561
163,0.29721,200.366,192.84547511333312,230.59446430062093,0.0029676920425621,200.9615077886,0.0029720999999999
164,0.298897,200.371,192.85353118726525,230.60409732961296,0.0029845119103579,200.96990290787,0.00298897
165,0.300387,200.379,192.8640961140142,230.61673031269237,0.0029993673970805,200.98091246673,0.00300387
166,0.302023,200.385,192.87301699452465,230.62739743185185,0.0030156782679224,200.99020878855,0.00302023
167,0.303914,200.392,192.88339095374175,230.63980206601263,0.0030345311496301,201.00101934288,0.00303914
168,0.305673,200.402,192.89639896532762,230.65535636129226,0.0030520676993667,201.01457480546,0.0030567299999999
169,0.307162,200.407,192.90407524765703,230.6645352554848,0.003066912213179,201.02257414934,0.0030716199999999
170,0.308595,200.41,192.90971882407408,230.67128354698536,0.0030811982296061,201.0284552395,0.00308595
171,0.31094,200.418,192.9219294224557,230.6858843375455,0.0031045758134502,201.0411797292,0.0031094
172,0.312693,200.426,192.93300177784596,230.69912407707406,0.0031220513219317,201.05271807218,0.00312693
173,0.314221,200.429,192.9388284925154,230.70609135565314,0.0031372835753673,201.05879000809,0.00314221
174,0.315901,200.435,192.94783558420966,230.71686156160655,0.0031540308113586,201.06817616935,0.00315901
175,0.31787,200.435,192.95162276335557,230.72139007100427,0.0031736586136996,201.07212273450003,0.0031787
176,0.319676,200.437,192.95702179122418,230.72784594422802,0.003191661226232,201.07774898412,0.00319676
177,0.321617,200.439,192.96268055290895,230.73461239347208,0.0032110091876714,201.08364589863,0.00321617
178,0.323267,200.44,192.9668169461621,230.7395584747104,0.0032274561557391,201.0879563748,0.00323267
179,0.325021,200.441,192.97115341091066,230.74474379090753,0.0032449394845781,201.09247534261,0.00325021
180,0.326835,200.443,192.9765680678397,230.75121835253876,0.0032630205533127,201.09811787905,0.0032683499999999
181,0.328774,200.446,192.98318600063735,230.75913172809166,0.0032823471996969,201.10501433204,0.00328774
182,0.3302,200.446,192.9859289228546,230.7624115700425,0.0032965603691514,201.107872692,0.003302
183,0.33215,200.447,192.9906425645456,230.76804789456608,0.003315996003191,201.1127847105,0.0033215
184,0.333938,200.448,192.99504463227802,230.77331165535685,0.0033338166525879,201.11737204224,0.00333938
185,0.335672,200.452,193.00223136879518,230.7819051764455,0.0033510987911244,201.12486123744,0.00335672
186,0.337377,200.455,193.0083996024081,230.78928082539355,0.0033680916061392,201.13128906535,0.00337377
187,0.338899,200.461,193.0171045095254,230.79968969494217,0.0033832603149707,201.14036032439,0.00338899
188,0.340767,200.462,193.02166077514514,230.8051378374468,0.003401877049165,201.14510834354,0.00340767
189,0.342679,200.468,193.03111623008786,230.81644417256283,0.0034209319342406,201.15496173772,0.00342679
190,0.344309,200.473,193.03906648218378,230.82595066537547,0.0034371761363813,201.16324658157,0.0034430899999999
191,0.346019,200.475,193.04428199257018,230.83218709805766,0.0034542173163632,201.16868159025,0.00346019
192,0.347757,200.481,193.05340323961897,230.84309380497274,0.0034715372356421,201.17818671117,0.0034775699999999
193,0.349258,200.487,193.06206872219477,230.8534555327307,0.0034864951063412,201.18721688646,0.00349258
194,0.351329,200.496,193.07471999036918,230.86858325302427,0.003507132813794,201.20040059184,0.00351329
195,0.353099,200.501,193.0829404604575,230.87841285828313,0.0035247706907227,201.20896702599,0.00353099
196,0.35488,200.51,193.09503434320575,230.89287408643486,0.0035425178675805,201.221569888,0.0035487999999999
197,0.356347,200.516,193.1036352315055,230.90315857575894,0.0035571358839412,201.23053275052,0.00356347
198,0.358036,200.525,193.11555261866056,230.91740875977422,0.0035739657690226,201.242951689,0.00358036
199,0.360058,200.529,193.12329576107783,230.92666760173907,0.003594113429453,201.25102070682,0.00360058
200,0.36176,200.534,193.131386354542,230.9363419073698,0.003611072223639,201.2594517984,0.0036176
201,0.363504,200.543,193.14341034506216,230.95071956207553,0.0036284492091293,201.27198182672,0.00363504
202,0.364985,200.55,193.1530022538521,230.9621890615167,0.0036432054602962,201.2819774175,0.00364985
203,0.366825,200.556,193.1623221492311,230.9733333016447,0.0036615383792298,201.29168954700003,0.00366825
204,0.368612,200.562,193.17154025157885,230.9843558230261,0.0036793429086816,201.30129559944,0.0036861199999999
205,0.370288,200.571,193.18343442237034,230.99857824613633,0.0036960412167828,201.31369034448,0.00370288
206,0.3721,200.576,193.1917379157376,231.00850712626035,0.0037140942051736,201.322343296,0.003721
207,0.373467,200.584,193.20207463900493,231.02086723563315,0.0037277134349324,201.33311504728,0.00373467
208,0.375368,200.591,193.2124762574353,231.03330494322466,0.0037466525236703,201.34395442488,0.0037536799999999
209,0.377127,200.602,193.2264577178468,231.05002323735025,0.0037641765898101,201.35852430454003,0.0037712699999999
210,0.3788,200.613,193.24027399011342,231.06654400819062,0.0037808435946156,201.372922044,0.003788
211,0.38044,200.623,193.25306381869885,231.08183741172746,0.0037971815723848,201.3862501412,0.0038044
212,0.382206,200.636,193.26898639522165,231.1008767902838,0.0038147744865573,201.40284283016,0.00382206
213,0.384034,200.649,193.28502879062552,231.12005944194868,0.0038329847195132,201.41956038066,0.00384034
214,0.385711,200.658,193.29692761811663,231.13428743329516,0.0038496904238517,201.43195997838,0.00385711
215,0.387256,200.669,193.31049921261325,231.1505156313424,0.0038650809420386,201.44610274264,0.0038725599999999
216,0.389038,200.681,193.3254908840867,231.16844188266023,0.0038828320416784,201.46172534878,0.00389038
217,0.390927,200.692,193.3397256695418,231.18546308953339,0.0039016486601598,201.47655921484,0.00390927
218,0.392743,200.705,193.35574702330732,231.20462058071516,0.003919737780655,201.49325483815,0.00392743
219,0.394374,200.711,193.36466870909703,231.21528866278518,0.0039359838428964,201.50255199914,0.00394374
220,0.39615,200.719,193.37579669943287,231.22859492765204,0.0039536739207414,201.5141483185,0.0039615
221,0.397976,200.728,193.387984705699,231.24316870375014,0.0039718617037849,201.52684926528,0.00397976
222,0.399814,200.734,193.39730579098014,231.25431436670044,0.0039901686781799,201.53656263476,0.00399814
223,0.401664,200.74,193.4066502038633,231.26548792356886,0.0040085948373743,201.5463003136,0.00401664
224,0.403491,200.746,193.41595052288648,231.2766087553214,0.0040267915813777,201.55599204286,0.00403491
225,0.405343,200.75,193.42337220595843,231.28548321312851,0.0040452369850301,201.5637260725,0.00405343
226,0.406977,200.752,193.4284470233644,231.2915514125533,0.0040615108869506,201.56901446704003,0.0040697699999999
227,0.408681,200.752,193.43172968442616,231.29547664579286,0.0040784816751551,201.57243528112,0.00408681
228,0.4107,200.751,193.43465562030914,231.29897532584803,0.0040985892961429,201.575484357,0.004107
229,0.412365,200.757,193.44364456070323,231.30972382743246,0.0041151710568089,201.58485160305,0.0041236499999999
230,0.414095,200.762,193.45179533086048,231.31947008918397,0.0041323998622169,201.5933454039,0.00414095
231,0.415943,200.763,193.45631918267708,231.32487947296968,0.0041508034836916,201.59805964509,0.00415943
232,0.417397,200.764,193.46008400554223,231.32938124990415,0.004165283151261,201.60198291308004,0.00417397
233,0.419425,200.766,193.4659183457938,231.3363576467528,0.004185478651069,201.6080627955,0.00419425
234,0.421148,200.773,193.47598342849855,231.3483929426449,0.0042026365387835,201.61855147404,0.00421148
235,0.422474,200.775,193.48046549706174,231.3537523642164,0.0042158408415821,201.6232221735,0.00422474
236,0.424309,200.783,193.49171041310964,231.3671984426927,0.0042341134767982,201.63494033947,0.00424309
237,0.425916,200.787,193.49866149170046,231.37551017644233,0.0042501154504085,201.64218395892,0.00425916
238,0.427626,200.792,193.50677487352127,231.38521173118988,0.0042671427826926,201.65063879792,0.00427626
239,0.429387,200.795,193.51305922121438,231.39272622324066,0.0042846776446698,201.65718762665,0.00429387
240,0.431109,200.796,193.51734101980526,231.39784617252508,0.0043018238733643,201.66164962764,0.00431109
241,0.432559,200.8,193.52399003581482,231.40579671574605,0.0043162615266688,201.66857847200004,0.00432559
242,0.434407,200.807,193.53429743443962,231.41812176025547,0.004334661764765,201.67931966449,0.00434407
243,0.436022,200.811,193.54126468682531,231.42645283377735,0.0043507417821979,201.68658013842,0.00436022
244,0.437585,200.812,193.54524041729096,231.4312068029145,0.0043663038067304,201.6907231902,0.00437585
245,0.439344,200.818,193.5544130255676,231.4421749248813,0.0043838170175189,201.70028183392003,0.00439344
246,0.441015,200.824,193.56341624850126,231.4529405047745,0.0044004537858754,201.7096639636,0.00441015
247,0.442674,200.832,193.57432426145448,231.46598373227076,0.0044169708063294,201.72103104768,0.00442674
248,0.444224,200.838,193.58309470099528,231.4764709620406,0.0044324023751918,201.73017059712,0.00444224
249,0.445967,200.845,193.59320118671593,231.48855576547896,0.0044497551388222,201.74070242115,0.00445967
250,0.447477,200.854,193.60478663758485,231.50240903756236,0.0044647879837969,201.75277545358003,0.00447477
251,0.449258,200.865,193.61882255461265,231.51919244804213,0.0044825184859878,201.7674020817,0.0044925799999999
252,0.45088,200.874,193.63062447239463,231.53330455986148,0.00449866581188,201.7797006912,0.0045088
253,0.452375,200.888,193.64700162750893,231.5528874995604,0.0045135485971293,201.79676709,0.00452375
254,0.453829,200.899,193.66040823408417,231.56891841373914,0.0045280230132606,201.81073792271,0.0045382899999999
255,0.455389,200.913,193.67691146334258,231.58865210626078,0.0045435524152021,201.82793570157,0.00455389
256,0.457229,200.928,193.69491898799845,231.61018455600563,0.0045618688357273,201.84670108512,0.00457229
257,0.458603,200.945,193.71395649483534,231.63294860420584,0.0045755462048659,201.86653979835,0.00458603
258,0.460113,200.963,193.73422074975667,231.65717953316747,0.0045905771589759,201.88765688819,0.00460113
259,0.461741,200.979,193.7527850162064,231.67937770543253,0.0046067824643484,201.90700244439003,0.00461741
260,0.463571,200.997,193.77366752033055,231.70434790423514,0.0046249981882096,201.92876380287004,0.00463571
261,0.464813,201.012,193.79052420020977,231.72450423439713,0.0046373608019458,201.94632990756003,0.0046481299999999
262,0.466601,201.025,193.80650633395632,231.7436148283455,0.0046551579195238,201.96298466025,0.00466601
263,0.468337,201.038,193.82238859599167,231.76260600096063,0.004672437144504,201.97953533806,0.00468337
264,0.469962,201.051,193.83805713735646,231.78134161765198,0.0046886112637051,201.99586330062,0.00469962
265,0.471576,201.064,193.85370486033707,231.8000523408158,0.004704675637613,202.01216956864,0.00471576
266,0.473121,201.071,193.86343492138553,231.81168703545288,0.0047200530028593,202.02230912591003,0.00473121
267,0.474836,201.077,193.8725290467584,231.82256131169606,0.0047371220990137,202.03178598372,0.00474836
268,0.476356,201.086,193.88413964911965,231.83644465860962,0.0047522501506057,202.04388522616,0.00476356
269,0.478079,201.094,193.8951780486839,231.84964379554947,0.0047693983165574,202.05538818426,0.00478079
270,0.479507,201.098,193.90179055928823,231.8575506875291,0.0047836102707158,202.06227898686,0.00479507
271,0.481009,201.102,193.90854598493593,231.86562846979203,0.0047985584807418,202.06931871918,0.00481009
272,0.482873,201.109,193.9188928715806,231.8780007319963,0.0048171090778092,202.08010106157,0.00482873
273,0.484441,201.114,193.9267402216962,231.88738418003945,0.0048327136054194,202.08827867274,0.00484441
274,0.48569,201.121,193.93590061258968,231.89833769310283,0.0048451433131954,202.0978245849,0.0048569
275,0.487195,201.125,193.9426623971483,231.9064230790166,0.0048601204579981,202.10487094375,0.00487195
276,0.488973,201.129,193.94995120417863,231.9151386506501,0.0048778140981717,202.11246650517,0.00488973
277,0.490273,201.134,193.9572818784286,231.92390428490023,0.0048907507573134,202.12010569582,0.00490273
278,0.491762,201.136,193.9620844782561,231.92964698087903,0.0049055680020491,202.12511041632,0.00491762
279,0.493091,201.138,193.96657831149489,231.93502047003017,0.0049187928792492,202.12979337558,0.00493091
